Código;Matrícula;Fecha Matriculación;Marca;Modelo;Tipo;Variante;Clasificación medioambiental;Combustible;Cilindrada;Potencia;Número de Plazas;Fecha inicio de prestación del servicio de taxi;Eurotaxi;Régimen Especial;Fecha extracción dato
1420835;0306JMJ;08/03/2016;CITROEN;C4 PICASSO;3;3DAHX*;C;M: Diesel;1997;110;5;09/03/2016;NO;No;;;18/06/2024
1428730;4256JPH;30/05/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;31/05/2016;NO;No;;;18/06/2024
1447187;6351JWJ;25/01/2017;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;26/01/2017;NO;No;;;18/06/2024
1442412;1087JTZ;22/11/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;24/11/2016;NO;No;;;18/06/2024
1436750;1392JSS;16/09/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;19/09/2016;NO;No;;;18/06/2024
1440038;5186JTK;25/10/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;27/10/2016;NO;No;;;18/06/2024
1419786;2080JLX;19/02/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;26/02/2016;NO;No;;;18/06/2024
1443756;9960JVK;12/12/2016;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;13/12/2016;NO;No;;;18/06/2024
1466876;5722JWZ;23/02/2017;CITROEN;C4 PICASSO;3;3DBHZ*;C;M: Diesel;1560;88;5;03/03/2017;NO;No;;;18/06/2024
1434099;5729JRW;28/07/2016;CITROEN;C4 PICASSO;3;3DBHY*;C;M: Diesel;1560;73;5;01/08/2016;NO;No;;;18/06/2024
1426824;2750JNW;12/05/2016;CITROEN;C4 PICASSO;3;3DBHY*;C;M: Diesel;1560;73;5;12/05/2016;NO;No;;;18/06/2024
1447333;2734JWJ;25/01/2017;CITROEN;C4 PICASSO;3;3DBHY*;C;M: Diesel;1560;73;5;27/01/2017;NO;No;;;18/06/2024
1442573;9931JTZ;23/11/2016;CITROEN;C-ELYSEE;FE-CO2;FE15;ECO;B: Gasolina/GLP;1587;85;5;25/11/2016;NO;No;;;18/06/2024
1441107;5238JTT;08/11/2016;CITROEN;C-ELYSEE;FE-CO2;FE15;ECO;B: Gasolina/GLP;1587;85;5;11/11/2016;NO;No;;;18/06/2024
1417607;9963JLN;02/02/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;03/02/2016;NO;No;;;18/06/2024
1437089;0714JST;21/09/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;22/09/2016;NO;No;;;18/06/2024
1445267;4605JVZ;02/01/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;03/01/2017;NO;No;;;18/06/2024
1699002;7132JRV;27/07/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;24/02/2023;NO;NO;;;18/06/2024
1428134;3534JPC;24/05/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;25/05/2016;NO;No;;;18/06/2024
1392130;1684JJJ;05/10/2015;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;09/10/2015;NO;No;;;18/06/2024
1425811;7249JNM;28/04/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;03/05/2016;NO;No;;;18/06/2024
1470977;5194JYM;25/04/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;27/04/2017;NO;No;;;18/06/2024
1439799;3549JTK;24/10/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;25/10/2016;NO;No;;;18/06/2024
1433935;9183JRS;22/07/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;29/07/2016;NO;No;;;18/06/2024
1428279;1948JPD;25/05/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;26/05/2016;NO;No;;;18/06/2024
1473446;0021JZC;18/05/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;22/05/2017;NO;No;;;18/06/2024
1430859;6595JPS;15/06/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;21/06/2016;NO;No;;;18/06/2024
1437116;9695JSS;20/09/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;22/09/2016;NO;No;;;18/06/2024
1428486;1257JPD;25/05/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;27/05/2016;NO;No;;;18/06/2024
1428253;8854JPB;24/05/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;26/05/2016;NO;No;;;18/06/2024
1467976;0210JXL;14/03/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;16/03/2017;NO;No;;;18/06/2024
1397127;0218JKL;01/12/2015;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;03/12/2015;NO;No;;;18/06/2024
1431267;5816JPY;24/06/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;24/06/2016;NO;No;;;18/06/2024
1435057;1283JSG;18/08/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;19/08/2016;NO;No;;;18/06/2024
1416693;1220JLJ;22/01/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;25/01/2016;NO;No;;;18/06/2024
1428151;3896JPB;23/05/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;25/05/2016;NO;No;;;18/06/2024
1470155;3503JXX;30/03/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;17/04/2017;NO;No;;;18/06/2024
1422977;3229JMY;01/04/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;05/04/2016;NO;No;;;18/06/2024
1442010;4642JTX;17/11/2016;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;21/11/2016;NO;No;;;18/06/2024
1447550;8765JWK;27/01/2017;CITROEN;C-ELYSEE;FECO2/1;FE15C;ECO;B: Gasolina/GLP;1587;85;5;31/01/2017;NO;No;;;18/06/2024
1400808;6804JLH;22/01/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;22/01/2016;NO;No;;;18/06/2024
1437783;7216JSX;29/09/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;30/09/2016;NO;No;;;18/06/2024
1441387;9339JTV;14/11/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;15/11/2016;NO;No;;;18/06/2024
1434152;2881JRP;19/07/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;02/08/2016;NO;No;;;18/06/2024
1396996;5943JKJ;30/11/2015;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;02/12/2015;NO;No;;;18/06/2024
1424363;8512JNF;19/04/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;19/04/2016;NO;No;;;18/06/2024
1428619;2993JPD;25/05/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;30/05/2016;NO;No;;;18/06/2024
1423764;9060JNC;13/04/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;13/04/2016;NO;No;;;18/06/2024
1468089;0039JXM;16/03/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;17/03/2017;NO;No;;;18/06/2024
1423924;3567JNC;12/04/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;14/04/2016;NO;No;;;18/06/2024
1438240;6317JTB;04/10/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;07/10/2016;NO;No;;;18/06/2024
1424353;0342JNF;15/04/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;19/04/2016;NO;No;;;18/06/2024
1444732;0742JVH;30/11/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;22/12/2016;NO;No;;;18/06/2024
1446878;6580JWG;19/01/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;24/01/2017;NO;No;;;18/06/2024
1426970;6796JNV;11/05/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;13/05/2016;NO;No;;;18/06/2024
